conference,paper_id,reviewer_type,R_premise,S_depth,DoA_score,DoA_score_HM,Total_Claims,Total_Premises,Total_Valid_Flaws_Found,Critical_Recall,Minor_Recall,Critical_Recall_ConsensusWeighted,Minor_Recall_ConsensusWeighted,Raw_CPS,ICPS,nCPS,Total_Arguments,MCS,AR,SD,CD,D1_actionability_mean,D2_specificity_mean,D3_justification_mean,D4_solution_mean,D5_tone_mean,n_arcs,n_weaknesses,n_strengths,n_questions,n_suggestions,decision,decision_raw,avg_rating,avg_confidence
iclr2024,0Q1mBvUgmt,human,0.6623,0.4749,0.3121,0.5442,4.33,9.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
iclr2024,0Q1mBvUgmt,sea,0.2,0.5,0.1,0.2857,12.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
iclr2024,0Q1mBvUgmt,tree,,,,,,,,,,,,,,,,0.6583,0.9583,0.0833,0.875,1.5,1.625,1.375,0.5417,1.5417,24.0,11.0,6.0,3.0,2.0,,,,
iclr2024,0V5TVt9bk0,cyclereview,0.6667,0.35,0.2333,0.459,5.0,10.0,4.0,,0.4444,,0.4444,2.5616,2.5616,1.0,4.0,0.39,1.0,0.0,0.0,1.0,1.9,0.0,0.0,1.0,10.0,4.0,0.0,6.0,0.0,Accept,Accept (spotlight),7.333333333333333,4.666666666666667
iclr2024,0V5TVt9bk0,deepreview,0.7895,0.5,0.3947,0.6122,4.0,15.0,3.0,0.0,0.4286,0.0,0.4286,2.1309,2.1309,1.0,3.0,0.6882,1.0,0.4706,0.5882,1.5294,2.0,0.4706,1.2941,1.5882,17.0,7.0,3.0,3.0,4.0,Accept,Accept (spotlight),7.333333333333333,4.666666666666667
iclr2024,0V5TVt9bk0,human,0.5032,0.2354,0.1595,0.3065,6.0,6.0,1.5333333333333334,0.3333333333333333,0.15205333333333332,0.3333333333333333,0.16114,2.104733333333333,2.1626666666666665,0.9800000000000001,2.2666666666666666,0.6261666666666666,0.5952333333333334,0.3492,0.5079333333333333,0.9444333333333335,1.6984333333333332,0.9603333333333333,0.8015666666666666,1.8571333333333333,6.666666666666667,2.3333333333333335,2.6666666666666665,0.3333333333333333,0.3333333333333333,Accept,Accept (spotlight),7.333333333333333,4.666666666666667
iclr2024,0V5TVt9bk0,reviewer2,0.3226,0.35,0.1129,0.3357,21.0,10.0,12.0,0.5,0.8462,0.6667,0.8462,8.141,8.641,0.9421,12.0,0.5464,0.6071,0.0,0.4643,0.9643,1.9286,0.3929,0.1786,2.0,28.0,13.0,7.0,5.0,0.0,Accept,Accept (spotlight),7.333333333333333,4.666666666666667
iclr2024,0V5TVt9bk0,sea,0.5625,0.4444,0.25,0.4966,7.0,9.0,6.0,,0.6,,0.5455,4.1309,4.1309,1.0,5.0,0.4,0.4211,0.0,0.2105,0.4211,1.5789,0.0526,0.3158,1.6316,19.0,6.0,5.0,6.0,0.0,Accept,Accept (spotlight),7.333333333333333,4.666666666666667
iclr2024,0V5TVt9bk0,tree,0.2727,0.5,0.1364,0.3529,24.0,9.0,3.0,0.0,0.5,0.0,0.5,2.6309,2.6309,1.0,3.0,0.4583,0.6667,0.0,0.1667,0.9167,1.8333,0.2917,0.0417,1.5,24.0,12.0,4.0,4.0,0.0,Accept,Accept (spotlight),7.333333333333333,4.666666666666667
iclr2024,0aEUd9UtiA,human,0.6627,0.5042,0.3355,0.5716,5.0,9.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
