reviewer_type,decision,metric,n,mean,std,median
cyclereview,Accept,Total_Valid_Flaws_Found,631,3.0824088748019016,2.185709262862374,3.0
cyclereview,Accept,Critical_Recall,443,0.24370699774266363,0.30982894743774,0.125
cyclereview,Accept,Minor_Recall,630,0.18174031746031746,0.14052129347685283,0.1667
cyclereview,Accept,nCPS,631,0.9703451664025358,0.11781187575057572,1.0
cyclereview,Accept,Raw_CPS,631,2.7938275752773376,1.2535848291746394,2.6309
cyclereview,Accept,Total_Arguments,631,3.1584786053882725,1.590723175592454,3.0
cyclereview,Accept,R_premise,678,0.6141038348082596,0.19247059930107985,0.6545000000000001
cyclereview,Accept,S_depth,678,0.4386007374631268,0.13930152756847922,0.5
cyclereview,Accept,DoA_score,678,0.2694892330383481,0.11419961514628064,0.2778
cyclereview,Accept,Total_Claims,678,6.5825958702064895,5.1836116355572255,5.0
cyclereview,Accept,Total_Premises,678,9.800884955752212,5.128499377270944,9.0
cyclereview,Accept,n_arcs,678,6.9174041297935105,3.1036678713959795,6.0
cyclereview,Accept,n_weaknesses,678,3.489675516224189,1.8517538210057534,3.0
cyclereview,Accept,n_strengths,678,0.02359882005899705,0.26522312693120664,0.0
cyclereview,Accept,MCS,672,0.5242299107142857,0.11043167897394944,0.5035499999999999
cyclereview,Accept,AR,672,0.8983081845238094,0.217573390071125,1.0
cyclereview,Accept,SD,672,0.042606696428571435,0.14196450764363905,0.0
cyclereview,Accept,CD,672,0.39523422619047616,0.36293358149864025,0.375
cyclereview,Accept,D1_actionability_mean,672,1.3080098214285716,0.4979371129249014,1.2857
cyclereview,Accept,D3_justification_mean,672,0.3302136904761904,0.43991544698707213,0.1667
cyclereview,Accept,D4_solution_mean,672,0.39398229166666665,0.3788546080066273,0.3333
cyclereview,Accept,D5_tone_mean,672,1.3154162202380952,0.41184242521738945,1.0
cyclereview,Reject,Total_Valid_Flaws_Found,300,3.216666666666667,1.8658313547505099,3.0
cyclereview,Reject,Critical_Recall,250,0.2252244,0.26817099682626977,0.1667
cyclereview,Reject,Minor_Recall,300,0.19066366666666668,0.1447515876261461,0.1667
cyclereview,Reject,nCPS,300,0.9709273333333333,0.07563572300752995,1.0
cyclereview,Reject,Raw_CPS,300,2.9383380000000003,1.2457536112285459,2.6309
cyclereview,Reject,Total_Arguments,300,3.2066666666666666,1.425034960161034,3.0
cyclereview,Reject,R_premise,322,0.615186645962733,0.17162335774572726,0.6364
cyclereview,Reject,S_depth,322,0.4349655279503105,0.1290016448898999,0.5
cyclereview,Reject,DoA_score,322,0.26715372670807447,0.10559208174622471,0.2727
cyclereview,Reject,Total_Claims,322,6.39751552795031,4.428426305162656,5.0
cyclereview,Reject,Total_Premises,322,9.717391304347826,4.956283217217307,9.0
cyclereview,Reject,n_arcs,322,6.807453416149069,2.8624010746492887,6.0
cyclereview,Reject,n_weaknesses,322,3.5527950310559007,1.7343896414190894,3.0
cyclereview,Reject,n_strengths,322,0.012422360248447204,0.22291128503014118,0.0
cyclereview,Reject,MCS,319,0.5331175548589341,0.1120005646562135,0.5286
cyclereview,Reject,AR,319,0.9164310344827586,0.19475468154454642,1.0
cyclereview,Reject,SD,319,0.060005329153605014,0.17057233513202344,0.0
cyclereview,Reject,CD,319,0.42404012539184954,0.3686665010735593,0.4
cyclereview,Reject,D1_actionability_mean,319,1.3687272727272728,0.4867610746697067,1.4
cyclereview,Reject,D3_justification_mean,319,0.312771473354232,0.429939080408977,0.1667
cyclereview,Reject,D4_solution_mean,319,0.4150583072100313,0.403756069703333,0.3636
cyclereview,Reject,D5_tone_mean,319,1.3322382445141068,0.40788360781780425,1.0
deepreview,Accept,Total_Valid_Flaws_Found,677,4.366322008862629,3.1329401237868924,4.0
deepreview,Accept,Critical_Recall,498,0.3753246987951807,0.3434418898776707,0.3333
deepreview,Accept,Minor_Recall,676,0.2305310650887574,0.15239578572783646,0.2143
deepreview,Accept,nCPS,677,0.9715285081240769,0.08026974088328202,1.0
deepreview,Accept,Raw_CPS,677,3.4399271787296897,1.5340381445501219,3.1309
deepreview,Accept,Total_Arguments,677,4.008862629246677,2.0227796009307584,4.0
deepreview,Accept,R_premise,671,0.5943684053651267,0.1771018259688002,0.619
deepreview,Accept,S_depth,671,0.44262309985096865,0.13590194682993922,0.5
deepreview,Accept,DoA_score,671,0.2641065573770492,0.10884367614856474,0.2667
deepreview,Accept,Total_Claims,671,8.013412816691504,7.817019251421172,6.0
deepreview,Accept,Total_Premises,671,11.657228017883755,9.479054871656276,10.0
deepreview,Accept,n_arcs,671,14.685543964232489,4.819216784148281,14.0
deepreview,Accept,n_weaknesses,671,3.9284649776453056,2.0763653371513993,3.0
deepreview,Accept,n_strengths,671,2.4098360655737703,1.5454773121398853,3.0
deepreview,Accept,MCS,664,0.6314778614457832,0.08477978896077866,0.627
deepreview,Accept,AR,664,0.8348030120481926,0.127541440542949,0.8182
deepreview,Accept,SD,664,0.28892620481927705,0.16308776003168063,0.2857
deepreview,Accept,CD,664,0.6069120481927711,0.22033415649479357,0.6
deepreview,Accept,D1_actionability_mean,664,1.4076439759036146,0.29484202942694027,1.4
deepreview,Accept,D3_justification_mean,664,0.5700189759036145,0.36196780908366144,0.5
deepreview,Accept,D4_solution_mean,664,0.7799025602409639,0.28702435432964973,0.75
deepreview,Accept,D5_tone_mean,664,1.7250719879518075,0.28450464474117115,1.7059
deepreview,Reject,Total_Valid_Flaws_Found,321,4.4485981308411215,2.409228266711458,4.0
deepreview,Reject,Critical_Recall,287,0.31814668989547035,0.2831667881484931,0.2857
deepreview,Reject,Minor_Recall,321,0.23140155763239875,0.1434326702805752,0.2
deepreview,Reject,nCPS,321,0.9609806853582556,0.05739232473318027,1.0
deepreview,Reject,Raw_CPS,321,3.6457847352024917,1.5996995274457038,3.2619
deepreview,Reject,Total_Arguments,321,4.102803738317757,2.1151296330215748,4.0
deepreview,Reject,R_premise,322,0.6003406832298137,0.1779309211494432,0.619
deepreview,Reject,S_depth,322,0.44565683229813663,0.1412751541847837,0.5
deepreview,Reject,DoA_score,322,0.2667555900621118,0.11081442283483554,0.2727
deepreview,Reject,Total_Claims,322,8.298136645962733,10.321827412221499,6.0
deepreview,Reject,Total_Premises,322,11.425465838509316,6.595266682796793,11.0
deepreview,Reject,n_arcs,322,14.596273291925465,4.997667844874814,14.0
deepreview,Reject,n_weaknesses,322,4.1770186335403725,2.315402804953043,4.0
deepreview,Reject,n_strengths,322,2.1801242236024843,1.4592628137516235,3.0
deepreview,Reject,MCS,317,0.6380665615141956,0.08732291421318751,0.6364
deepreview,Reject,AR,317,0.8361157728706624,0.12529639418594168,0.8235
deepreview,Reject,SD,317,0.29333785488958986,0.1750777261905185,0.2941
